(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c + d̄ )  . (ā + b + c̄ + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d ), 0, empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (b̄) . (a), d̄ . c . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (c) . (b+d̄) . (b̄+d) . (a), c . b+d̄ . b̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (d̄) . (c) . (b̄) . (a), d̄ . c . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (a), d̄ . c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (c) . (b+d̄) . (a), c . b+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (d̄) . (c) . (a), d̄ . c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (b̄) . (a), d̄ . c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (c) . (b+d̄) . (b̄+d) . (a), c . b+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c + d̄ ), (d̄) . (c) . (b̄) . (a), d̄ . c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (c+d) . (c̄+d̄) . (b+d̄) . (b+c) . (b̄+d) . (b̄+c̄) . (a), empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (c+d) . (b+d̄) . (b+c) . (b̄+d) . (a), b+d̄ . b+c . b̄+d . a<br/> IKNF<sub>2</sub>, c+d . b+d̄ . b̄+d . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (c+d) . (c̄+d̄) . (b+d̄) . (b+c) . (b̄+d) . (b̄+c̄) . (a), empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (c+d) . (c̄+d̄) . (b+d̄) . (b+c) . (a), c+d . c̄+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c+d) . (b+d̄) . (b+c) . (a), c+d . b+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c+d) . (c̄+d̄) . (b+d̄) . (b+c) . (a), c+d . b+d̄ . a<br/> IKNF<sub>2</sub>, c+d . c̄+d̄ . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (c+d) . (c̄+d̄) . (b+d̄) . (b+c) . (b̄+d) . (b̄+c̄) . (a), empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c+d) . (b+d̄) . (b+c) . (b̄+d) . (a), b+d̄ . b+c . b̄+d . a<br/> IKNF<sub>2</sub>, c+d . b+d̄ . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c+d) . (c̄+d̄) . (b+d̄) . (b+c) . (b̄+d) . (b̄+c̄) . (a), empty, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (b̄) . (a), d̄ . c . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (c) . (b+d̄) . (b̄+d) . (a), c . b+d̄ . b̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d ), (d̄) . (c) . (b̄) . (a), d̄ . c . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (a), d̄ . c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c) . (b+d̄) . (a), c . b+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (d̄) . (c) . (a), d̄ . c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (b̄) . (a), d̄ . c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (c) . (b+d̄) . (b̄+d) . (a), c . b+d̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d ), (d̄) . (c) . (b̄) . (a), d̄ . c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (b+c) . (b̄+c̄) . (a), d̄ . b+c . b̄+c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (c+d̄) . (b+d̄) . (b+c) . (b̄+c̄+d) . (a), c+d̄ . b+d̄ . b+c . b̄+c̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (d̄) . (b+c) . (b̄+c̄) . (a), d̄ . b+c . b̄+c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (b+c) . (a), d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c+d̄) . (b+d̄) . (b+c) . (a), c+d̄ . b+d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (d̄) . (b+c) . (a), d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (b+c) . (b̄+c̄) . (a), d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c+d̄) . (b+d̄) . (b+c) . (b̄+c̄+d) . (a), c+d̄ . b+d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (d̄) . (b+c) . (b̄+c̄) . (a), d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+d̄) . (b+c) . (b̄+c̄) . (a), b+d̄ . b+c . b̄+c̄ . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b+c . b̄+c̄ . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (b+d̄) . (b+c) . (b̄+c̄+d) . (a), b+d̄ . b+c . b̄+c̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c̄+d̄) . (b+d̄) . (b+c) . (b̄+c̄) . (a), b+d̄ . b+c . b̄+c̄ . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b+c . b̄+c̄ . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+d̄) . (b+c) . (a), c̄+d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ ), (b+d̄) . (b+c) . (a), b+d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ ), (c̄+d̄) . (b+d̄) . (b+c) . (a), b+d̄ . b+c . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b+c . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (c̄+d̄) . (b+d̄) . (b+c) . (b̄+c̄) . (a), b+d̄ . b+c . b̄+c̄ . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b+c . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ ), (b+d̄) . (b+c) . (b̄+c̄+d) . (a), b+d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ ), (c̄+d̄) . (b+d̄) . (b+c) . (b̄+c̄) . (a), b+d̄ . b+c . a<br/> IKNF<sub>2</sub>, c̄+d̄ . b+c . a
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (b+c) . (b̄+c̄) . (a), d̄ . b+c . b̄+c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (c+d̄) . (b+d̄) . (b+c) . (b̄+c̄+d) . (a), b+d̄ . b+c . b̄+c̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d ), (d̄) . (b+c) . (b̄+c̄) . (a), d̄ . b+c . b̄+c̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (b+c) . (a), d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ ), (c+d̄) . (b+d̄) . (b+c) . (a), b+d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ ), (d̄) . (b+c) . (a), d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (b+c) . (b̄+c̄) . (a), d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ ), (c+d̄) . (b+d̄) . (b+c) . (b̄+c̄+d) . (a), b+d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ ), (d̄) . (b+c) . (b̄+c̄) . (a), d̄ . b+c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (b̄) . (a), d̄ . c . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (c) . (b+d̄) . (b̄+d) . (a), c . b+d̄ . b̄+d . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d ), (d̄) . (c) . (b̄) . (a), d̄ . c . b̄ . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ )  . (ā + b̄ + c̄ + d̄ ), (d̄) . (c) . (a), d̄ . c . a, empty
(a + b + c + d )  . (a + b + c + d̄ )  . (a + b + c̄ + d )  . (a + b + c̄ + d̄ )  . (a + b̄ + c + d )  . (a + b̄ + c + d̄ )  . (a + b̄ + c̄ + d )  . (a + b̄ + c̄ + d̄ )  . (ā + b + c + d )  . (ā + b + c̄ + d̄ )  . (ā + b̄ + c + d̄ ), (c) . (b+d̄) . (a), c . b+d̄ . a, empty
